Long,Lat,esrignss_speed,esrignss_direction,esrisnsr_azimuth,esrignss_positionsourcetype,esrignss_receiver,esrignss_h_rms,esrignss_v_rms,esrignss_latitude,esrignss_longitude,esrignss_altitude,esrignss_pdop,esrignss_hdop,esrignss_vdop,esrignss_fixtype,esrignss_correctionage,esrignss_stationid,esrignss_numsats,esrignss_avg_h_rms,esrignss_avg_v_rms,esrignss_avg_positions,esrignss_h_stddev,Stand_ID,DBH,GlobalID,Creator,Editor,ofage,notes1,notes2,CreationDate,EditDate,esrignss_fixdatetime
-83.74198312,42.25255565,,,,,,,,,,,,,,,,,,,,,,,,{8CCA5339-20F3-4285-AC76-79B831898B1B},segeorge_umich,segeorge_umich,,,,2025-06-05T21:12:53.944,2025-06-05T21:12:53.944,
-151.4118604,59.70517639,0.234062748,,103.8744659,2,iPhone 14 Pro,4.74865153,4.620521458,59.70517639,-151.4118604,406.3286373,,,,,,,,,,,,1,184,{CEAD0EFF-BEBF-492A-BFD4-4B03E032B60D},,yutingpu_umich,Y,,,2025-08-05T22:27:58.225,2025-10-28T16:19:16.069,2025-08-05T22:26:36.999
-151.4118593,59.70518423,0.380986645,,35.25959015,2,iPhone 14 Pro,4.74865153,3.044837427,59.70518423,-151.4118594,409.6681275,,,,,,,,,,,,1,89,{EF7B21AE-EF17-40E7-B165-98389C6023CA},,yutingpu_umich,Y,,,2025-08-05T22:29:15.967,2025-10-28T16:19:16.069,2025-08-05T22:28:51.998
-151.4118824,59.7051826,0,,302.1271057,2,iPhone 14 Pro,2.348524016,5.398938872,59.7051826,-151.4118824,408.7042699,,,,,,,,,,,,1,100,{A54E6E1F-00DC-4DB3-A5FF-185121BF0327},,yutingpu_umich,Y,,,2025-08-05T22:30:30.848,2025-10-28T16:19:16.069,2025-08-05T22:30:05
-151.4118555,59.70518148,0,,220.1759491,2,iPhone 14 Pro,4.74865153,3.084645454,59.70518148,-151.4118555,408.2446816,,,,,,,,,,,,1,76,{A20740BD-9E25-4391-B3C4-16CFD204D627},,yutingpu_umich,Y,,,2025-08-05T22:32:51.645,2025-10-28T16:19:16.069,2025-08-05T22:31:07.998
-151.4119449,59.70511055,0,,185.2151947,2,iPhone 13 Pro,4.565707751,4,59.70511055,-151.4119449,409.1684838,,,,,,,,,,,,1,223,{34CE8991-C252-43EA-802C-ECBA963ED04E},,yutingpu_umich,Y,,,2025-08-05T22:35:43.508,2025-10-28T16:19:16.069,2025-08-05T22:34:57.999
-151.4118429,59.70517419,0.060342551,,203.4287872,2,iPhone 14 Pro,4.733827786,3.230736518,59.70517419,-151.4118429,408.8608039,,,,,,,,,,,,1,,{9DF6A922-0E99-47D9-9234-16F38E8EC445},,yutingpu_umich,Y,,,2025-08-05T22:36:01.437,2025-10-28T16:19:16.069,2025-08-05T22:34:44.999
-151.41187,59.7052059,0.723550558,8.44E-16,207.9512024,2,iPhone 14 Pro,4.163585326,5.621265973,59.7052059,-151.41187,408.6670346,,,,,,,,,,,,1,104,{EFFEEAB1-E807-4D8F-8163-1BD22669B1F5},,yutingpu_umich,Y,,,2025-08-05T22:36:45.982,2025-10-28T16:19:16.069,2025-08-05T22:36:26.999
-151.4119445,59.70511622,0.025296597,,251.7473755,2,iPhone 13 Pro,4.74865153,4.712990145,59.70511622,-151.4119445,410.7592842,,,,,,,,,,,,1,329,{5851C50D-19CA-4B88-8F1A-7B498BF5CF5B},,yutingpu_umich,Y,,,2025-08-05T22:37:57.532,2025-10-28T16:19:16.069,2025-08-05T22:36:31.999
-151.4118809,59.70521094,0,,111.3877869,2,iPhone 14 Pro,4.733827775,3.00662834,59.70521094,-151.4118809,409.9178417,,,,,,,,,,,,1,246,{5D9192A7-AEAC-4BBC-8BBA-A25378642448},,yutingpu_umich,Y,,,2025-08-05T22:38:03.762,2025-10-28T16:19:16.069,2025-08-05T22:37:34.998
-151.4119117,59.70517922,0.047718974,,253.5379944,2,iPhone 14 Pro,4.74865153,3.199523528,59.70517922,-151.4119117,408.4099085,,,,,,,,,,,,1,258,{461106A1-02CB-4D33-883D-446802C8433A},,yutingpu_umich,Y,,,2025-08-05T22:39:18.382,2025-10-28T16:19:16.069,2025-08-05T22:38:59.999
-151.4118506,59.7052022,1.906254559,67.93788932,192.9487,2,iPhone 13 Pro,4.748651493,5.27136247,59.7052022,-151.4118506,412.5192775,,,,,,,,,,,,1,136,{428C89D4-63B1-430F-9A0E-053DD8C6722C},,yutingpu_umich,Y,,,2025-08-05T22:40:52.324,2025-10-28T16:19:16.069,2025-08-05T22:39:47.999
-151.4118843,59.70519862,0,,138.7176819,2,iPhone 14 Pro,4.74865153,4.02871233,59.70519862,-151.4118843,409.2448074,,,,,,,,,,,,1,178,{BDCF572A-4027-4A69-8084-6CB3FECE0B2C},,yutingpu_umich,Y,,,2025-08-05T22:41:11.801,2025-10-28T16:19:16.069,2025-08-05T22:39:47.998
-151.411885,59.70517366,0,141.8932322,149.7960968,2,iPhone 14 Pro,4.353267196,4.463568372,59.70517366,-151.4118851,409.2220794,,,,,,,,,,,,1,134,{C00520EA-F4C7-414F-AD1F-C0CCF8303A15},,yutingpu_umich,Y,,,2025-08-05T22:41:52.977,2025-10-28T16:19:16.069,2025-08-05T22:41:30.998
-151.4118711,59.70516553,0.540000021,,214.3537598,2,iPhone 13 Pro,3.353073897,3,59.70516553,-151.4118711,407.267971,,,,,,,,,,,,1,,{6F758CB2-F9FF-4445-8F7D-3AD00C9E0E2D},,yutingpu_umich,N,,,2025-08-05T22:43:19.358,2025-10-28T16:19:16.069,2025-08-05T22:43:07.999
-151.4118582,59.70518456,,,,1,,,,,,,,,,,,,,,,,,1,114,{0F8CD36A-1AB9-4A69-AA26-024658E27976},,yutingpu_umich,Y,,,2025-08-05T22:44:14.551,2025-10-28T16:19:16.069,
-151.4118782,59.70519469,0,,252.3508911,2,iPhone 14 Pro,5.413926968,6.173791256,59.70519469,-151.4118782,407.2708204,,,,,,,,,,,,1,256,{BA2C0352-27A1-43DA-A76C-44A0BE1C70E9},,yutingpu_umich,Y,,,2025-08-05T22:44:49.639,2025-10-28T16:19:16.069,2025-08-05T22:43:28.000
-151.4118016,59.70517023,0.489184343,,114.8963547,2,iPhone 13 Pro,4.74865153,3.98497506,59.70517023,-151.4118016,409.6087689,,,,,,,,,,,,1,307,{E3C113C7-4905-4767-A4C8-433B4D32617B},,yutingpu_umich,Y,,,2025-08-05T22:47:20.762,2025-10-28T16:19:16.069,2025-08-05T22:46:01.999
-151.41191,59.70516221,0,,222.8923645,2,iPhone 14 Pro,4.74865153,3.844476803,59.70516221,-151.41191,409.1146303,,,,,,,,,,,,1,136,{6579E471-B1D7-4194-8B40-FADBC4958A8E},,yutingpu_umich,Y,,,2025-08-05T22:49:23.930,2025-10-28T16:19:16.069,2025-08-05T22:48:21.998
